Date,Forecast,Load
2016-06-01 00:00:00,966,887
2016-06-01 00:30:00,987,809
2016-06-01 01:00:00,965,735
2016-06-01 01:30:00,867,689
2016-06-01 02:00:00,788,661
2016-06-01 02:30:00,718,638
2016-06-01 03:00:00,677,633
2016-06-01 03:30:00,645,629
2016-06-01 04:00:00,632,616
2016-06-01 04:30:00,629,612
2016-06-01 05:00:00,636,613
2016-06-01 05:30:00,635,599
2016-06-01 06:00:00,636,587
2016-06-01 06:30:00,630,597
2016-06-01 07:00:00,620,639
2016-06-01 07:30:00,610,719
2016-06-01 08:00:00,621,810
2016-06-01 08:30:00,656,928
2016-06-01 09:00:00,735,1005
2016-06-01 09:30:00,837,1038
2016-06-01 10:00:00,962,1064
2016-06-01 10:30:00,1041,1076
2016-06-01 11:00:00,1090,1064
2016-06-01 11:30:00,1106,1060
2016-06-01 12:00:00,1126,1052
2016-06-01 12:30:00,1127,1052
2016-06-01 13:00:00,1124,1052
2016-06-01 13:30:00,1119,1059
2016-06-01 14:00:00,1118,1044
2016-06-01 14:30:00,1119,1006
2016-06-01 15:00:00,1122,994
2016-06-01 15:30:00,1094,993
2016-06-01 16:00:00,1062,984
2016-06-01 16:30:00,1068,998
2016-06-01 17:00:00,1070,1009
2016-06-01 17:30:00,1062,1039
2016-06-01 18:00:00,1077,1078
2016-06-01 18:30:00,1088,1091
2016-06-01 19:00:00,1134,1062
2016-06-01 19:30:00,1175,1031
2016-06-01 20:00:00,1180,989
2016-06-01 20:30:00,1154,970
2016-06-01 21:00:00,1106,967
2016-06-01 21:30:00,1082,955
2016-06-01 22:00:00,1057,947
2016-06-01 22:30:00,1017,930
2016-06-01 23:00:00,1004,926
2016-06-01 23:30:00,1019,942
2016-06-02 00:00:00,989,893
2016-06-02 00:30:00,1005,820
2016-06-02 01:00:00,943,761
2016-06-02 01:30:00,849,711
2016-06-02 02:00:00,775,681
2016-06-02 02:30:00,696,656
2016-06-02 03:00:00,654,642
2016-06-02 03:30:00,624,636
2016-06-02 04:00:00,606,625
2016-06-02 04:30:00,598,619
2016-06-02 05:00:00,596,615
2016-06-02 05:30:00,593,595
2016-06-02 06:00:00,587,595
2016-06-02 06:30:00,586,597
2016-06-02 07:00:00,581,640
2016-06-02 07:30:00,557,722
2016-06-02 08:00:00,568,812
2016-06-02 08:30:00,606,933
2016-06-02 09:00:00,679,1003
