Date,Dim-0,Dim-1,Dim-2,Dim-3,Dim-4,Dim-5,Dim-6,Dim-7,Dim-8,Dim-9,Dim-10,Dim-11,Dim-12,Dim-13,Dim-14,Dim-15,Dim-16,Dim-17,Dim-18,Dim-19,Dim-20,Dim-21,Dim-22,Dim-23,Dim-24,Dim-25,Dim-26,Dim-27,Dim-28,Dim-29,Dim-30,Dim-31,Dim-32,Dim-33,Dim-34,Dim-35,Dim-36,Dim-37,Dim-38,Dim-39,Dim-40,Dim-41,Dim-42,Dim-43,Dim-44,Dim-45,Dim-46,Dim-47,Dim-48,Dim-49,Dim-50,Dim-51,Dim-52,Dim-53,Dim-54,Dim-55,Dim-56,Dim-57,Dim-58,Dim-59,Dim-60,Dim-61,Dim-62,Dim-63,Dim-64,Dim-65,Dim-66,Dim-67,Dim-68,Dim-69,Dim-70,Dim-71,Dim-72,Dim-73,Dim-74,Dim-75,Dim-76,Dim-77,Dim-78,Dim-79,Dim-80,Dim-81,Dim-82,Dim-83,Dim-84,Dim-85,Dim-86,Dim-87,Dim-88,Dim-89,Dim-90
2016/6/1,0,0,0.009925632,0.004666299,0.012681994,0,0.001387758,0,0,0.001971588,0.000425029,0.003064897,0.005745653,0,0.00414874,0.001681983,0.016921014,0.011029785,0,0.003015222,0.006512059,0,0,0.000583017,0,0.004427184,0.006212405,0.008136429,0.007283065,0,0.006894043,0.000723707,0.004912998,0,0.003970457,0.000664689,0.010290588,0.00749017,0.003136458,0.004454444,0.001623982,0.012125842,0.00749768,0.001628389,0.007409734,0.001217659,0,0.011028483,0,0.007749809,0.004574472,0.000446168,0.001421943,0.003430274,0.001037839,0.002391256,0.00982648,0.010327558,0.007198519,0.007127291,0.006779531,0,0.001610013,0.003967379,0.009841072,0.00577816,0.037495721,0.011274034,0.000530777,0,0.0017507,0.001671322,0.000558594,0.006980225,0.004883072,0,0,0.001320107,0.023200204,0.000516343,0,0,0,0.010648196,0.008108821,0.004470543,0.001953434,0,0.010638664,0.017890324,0.013290739
2016/6/2,0,0,0.000724815,0.005866384,0.016378657,0,0.000959563,0.001326482,0.001101199,0.002695926,0.001274856,0.01016526,0,0.000418223,0.004839378,0.002306316,0.003356302,0,0,0.003359084,0.008314204,0,0.000737989,0.003793148,0.001114354,0.00156786,0.00184885,0.009517868,0.005299132,0.001730736,0.008399546,0.005301222,0.003102104,0.002279915,0.005139535,0.000996761,0,0.00219044,0.007421281,0.00089277,0.001217986,0.007886521,0.007298721,0.000768038,0.00372811,0.002465685,0.004736323,0.010758148,0.00611211,0.001641554,0.005336797,0.006368577,0.002827057,0.002196771,0.000986611,0.005484862,0.017757737,0.010547989,0.003970107,0.001712554,0.007736736,0.00409411,0.002277888,0.001612787,0.002602641,0.000649948,0.029337695,0.016490972,0.00751265,0.006902947,0.006614646,0,0.000931904,0.008690742,0.002919961,0,0.003070563,0.001500418,0.026868417,0.001548283,0.001333975,0,0,0.015167136,0.010959634,0.003823508,0.006024423,0.00049459,0.001118599,0.007756196,0.013748895
2016/6/3,0,0,0.001942042,0.010828651,0.013537397,0,0.005128484,0.010563509,0,0.003849962,0.001840282,0.004291418,0,0.001644649,0.001639297,0.000568102,0.002212932,0,0,0.007569517,0.003901242,0,0,0.006135863,0.001244257,0.001117578,0.010137551,0.022319571,0.005403033,0,0.00373227,0.002982124,0.007991852,0.004955755,0,0.001188896,0,0.001682264,0.0109145,0.003169108,0.001407208,0.007191445,0.005169758,0.003131717,0.005612042,0.001297312,0.009756971,0.01043222,0.006491625,0.006773849,0.003392581,0,0.001942859,0.004747685,0.008516202,0.006563103,0.009744547,0.003619483,0.002369466,0.005117817,0,0.002058983,0.000488045,0,0.00642862,0,0.034306088,0.009825926,0.007622566,0.003170571,0.000933484,0,0.001255455,0.002214599,0.001686797,0,0.000743364,0.006438825,0.006691144,0.002791381,0.00055778,0,0,0.010208567,0.009421684,0,0.0033072,0,0.006130181,0.011257219,0.017322733
2016/6/4,0,0,0.00703683,0,0.011793883,0,0.004016092,0.009625722,0.000408644,0.0011398,0.003998878,0.004050586,0,0,0.005012929,0,0.001354406,0.000910585,0,0,0.007788003,0,0.002810336,0.00257936,0.003836744,0.000707137,0.000651628,0.00635386,0.006040742,0.001685367,0.005209457,0.009556706,0.005253689,0,0.002110183,0.004971039,0,0.006767531,0,0.000623293,0,0.007254036,0.018059672,0.000729225,0.004609392,0.000684195,0.001307498,0.011275473,0.014295048,0.004227219,0.005837831,0.001800194,0.000941078,0.002084102,0.00789128,0.007161144,0.019714317,0.004613057,0.006930037,0.004888704,0,0,0,0.001956682,0,0.000847015,0.025175554,0.017473227,0.001902786,0,0.000580668,0,0.00241648,0.00163894,0.003182243,0,0,0.000903292,0,0,0.000835476,0,0,0.024150467,0.008919298,0.001095616,0.002135556,0,0.002308412,0.030552607,0.01525768
2016/6/5,0,0,0.006810692,0.001375307,0.013406421,0,0.002090242,0.017553545,0.000411137,0.000782969,0.001376373,0.004258632,0,0.000601696,0.014347344,0,0.004547248,0,0,0.003525295,0.003788291,0,0.001208557,0.003383955,0.00088185,0.003759905,0,0.005490811,0.005249103,0.003067174,0.008742854,0.001576407,0.003782384,0,0.004128792,0.004396294,0,0.000965465,0.003289825,0,0,0.004096715,0.007854221,0.004348937,0.006712498,0,0.001359804,0.007802663,0.000538238,0.009825675,0.003553816,0.00202702,0.002691414,0.003967092,0.007402222,0.000374613,0.018692216,0.009992245,0.004821462,0.005622674,0,0,0.004666854,0.001477494,0.00222326,0.002348266,0.026141652,0.010189221,0.002389376,0,0.001894162,0,0.00074512,0.000769732,0.000675858,0,0,0,0,0.004844964,0.00063087,0,0,0.006542178,0.008002542,0.005446044,0.001612562,0.000838962,0.009439327,0.020954358,0.007549798
2016/6/6,0,0,0.007982013,0.000995661,0.009684825,0,0.005287069,0,0.002810457,0.000939487,0.000648476,0.013511278,0.003649279,0,0.008974576,0,0,0.003701593,0,0,0.014588688,0,0.007626576,0.001678928,0,0.000837713,0.000960572,0.000640288,0.008021945,0.002859433,0.004583598,0.004785363,0.002045556,0,0,0.027319882,0,0.005930272,0,0,0,0.007321667,0.023593853,0,0.00287704,0.00487983,0.005445569,0.006895036,0.008530329,0.002669777,0,0.006542639,0.000751059,0.01266237,0,0.001743748,0.010635657,0.01226019,0.004603766,0.002058259,0,0,0.009609134,0,0,0,0.032588061,0.010704091,0.000828354,0,0.000787497,0.001896259,0.010861809,0.002808483,0.002571616,0,0,0.006631206,0.002319033,0.011228752,0.008151243,0,0,0.005700999,0.02350838,0,0.003355677,0,0.013492509,0.012164856,0.01545463
2016/6/7,0,0,0.001761154,0.004748238,0.011392661,0,0.002041662,0.006742882,0.002464307,0.00574502,0.001128352,0.005456608,0,0,0.002426893,0,0.002781582,0,0,0.003278481,0.003660991,0,0.002626229,0.002350219,0,0,0.00056314,0.01824115,0.003511435,0.002435168,0.001200734,0.005081048,0.010083279,0,0.00169441,0.000557123,0,0.004356686,0.001825485,0.003573863,0,0.010726156,0.007580674,0.003197013,0.004287233,0.006094561,0,0.010282689,0.002116822,0.003940741,0.003300366,0.002549214,0.00116344,0.002781397,0.00956747,0.005714677,0.020040305,0.008107187,0.001203489,0.000915865,0.002942373,0.013923971,0.007184113,0.000771763,0.002940307,0.007420493,0.035596957,0.015619328,0.022902474,0.000892083,0.000647514,0,0.005507173,0.003241775,0.001349885,0,0.00877282,0.002359095,0,0.002034193,0.003588514,0,0,0.017344288,0.005034634,0.011120846,0.002859644,0.003523737,0.00827186,0.012592651,0.008545594
2016/6/8,0,0,0.008167263,0.005290894,0.011955054,0,0.006350132,0,0.013721712,0.001709474,0.002456549,0.009920917,0,0,0.013635418,0.000793031,0.001862123,0.013601635,0,0.005926843,0.004355174,0,0.00884904,0.006208136,0.000705264,0.002769774,0.002829787,0.020766782,0.007714577,0.006780409,0.00851081,0.01114966,0.013753134,0,0.001572618,0,0.000600898,0.006956955,0.012454046,0,0,0.007274644,0.008029375,0.001973595,0.003251965,0.002058688,0.008851373,0.009784464,0,0.002764522,0.004078879,0.008321544,0.001440019,0.008115859,0,0.00287356,0.022786195,0.027066416,0.00972516,0.00290014,0,0,0.000748937,0,0.014998772,0.007078861,0.046898442,0.013450543,0.001775237,0.001015628,0.001664878,0.004767907,0,0.003863623,0.000510115,0,0.002817241,0.001347534,0.004502523,0.001090692,0.001492835,0,0,0.014248548,0.017655125,0.003568272,0.007013132,0,0.022714725,0.007345013,0.015342568
2016/6/9,0,0,0.011321013,0.006103988,0.013272702,0,0,0.001720704,0.005470487,0.002281543,0.004115026,0.016866367,0.000370824,0,0.007880355,0.001415993,0.003565706,0,0,0.003547991,0.005484488,0,0.011572048,0.002081483,0.000547639,0.003772818,0.001656125,0.007745623,0.002564499,0.007673906,0.007292339,0.005261701,0.013815193,0,0.005452732,0.000658067,0.000464022,0.003915515,0.001509302,0.004991796,0,0.005614753,0.01214491,0,0.003882704,0.002581677,0.007250317,0.007677522,0.001585763,0.002546791,0.00498593,0.002625424,0.004145099,0.01046326,0.001493924,0.003484801,0.013204563,0.023230511,0.019164805,0.006933406,0,0,0.001455097,0,0.002115326,0.009701396,0.028636538,0.020662312,0.002577538,0.00117662,0.000808179,0,0.001583415,0.004198547,0.004590409,0,0.003789276,0.002502298,0.008214247,0.002398837,0.001246656,0,0,0.01316572,0.005399838,0.003929073,0.003092829,0,0.00139953,0.013965718,0.013448759
2016/6/10,0,0,0.007431356,0.001224645,0.010938528,0.007279435,0.009540168,0.001553198,0.005837078,0,0.001498732,0.005182668,0,0,0.009338978,0,0.0030596,0.00107346,0,0.001796834,0.006436495,0,0.00965923,0.005423941,0.002002312,0.00184075,0.000569514,0.021604409,0.008036315,0.001000355,0.009900769,0.001849529,0.00568864,0,0.00544755,0.003411125,0,0.000725276,0.004462349,0.000631747,0,0.012152103,0.011796123,0.001225823,0.005378396,0.007285997,0.005622605,0.007276363,0.002209804,0.005189139,0.00442187,0.001536722,0.000672611,0.004775972,0.007269199,0.005519071,0.013737949,0.01588941,0.007966139,0.006975123,0.002552542,0.002892114,0.018669537,0,0.005216241,0,0.022601405,0.013176672,0.005951448,0.009548226,0.001995806,0.00044569,0.00408513,0.003289014,0.000239766,0,0.003133229,0.003688343,0,0.001190569,0.001991866,0,0,0.011337239,0.006900972,0.006140827,0,0.001161578,0.005823816,0.013137679,0.016040468
