Date,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99
2016/6/1,-0.041566923,0.083773293,0.210045095,-0.163263346,-0.012690437,-0.015441593,-0.014881578,0.143378592,-0.076338948,0.008965991,0.097441082,0.051516038,0.086504496,0.059917078,0.037019497,-0.132826179,0.161012485,0.004199334,-0.290045907,0.15530021,0.215024815,-0.00418557,0.07031156,0.088533574,0.113086109,-0.077444681,0.015669996,-0.271292806,0.120614808,-0.019576247,-0.132102333,0.289413441,-0.01519637,0.019848401,0.065895699,0.130854367,-0.036449074,0.183602051,-0.092895439,-0.068880772,-0.243517896,-0.123676706,0.111499394,-0.141941959,0.06677063,-0.020524398,0.029476545,-0.218098914,-0.009963536,-0.408251863,-0.039732483,-0.055406732,0.068555007,0.599758762,-0.132547624,-1.539260137,-0.150494669,-0.031483238,0.949766762,0.283475903,-0.110592997,0.353825423,-0.152850641,-0.000193548,0.374009362,0.024934312,0.170568489,0.293993989,0.061031318,-0.019664682,0.022881303,-0.088333555,-0.118980288,-0.241036612,0.055906324,0.038578746,-0.002841834,-0.01804717,-0.544905598,-0.04554372,0.392667339,-0.104517627,-0.154623588,-0.020488092,-0.746750526,-0.188025779,-0.033138482,0.022715399,-0.01161254,-0.077714676,0.034370048,-0.012111428,0.013974881,0.055955624,-0.315764912,0.081457483,-0.097168615,-0.112489617,0.257905013,-0.018049236
2016/6/2,-0.067069116,0.100335983,0.186366206,-0.162660701,-0.020442353,0.034179783,-0.036116551,0.15944953,-0.045868693,0.011285361,0.08360289,0.04191062,0.077332495,0.03839052,0.070774141,-0.130168545,0.151344646,-0.001974365,-0.298003538,0.163135352,0.229585686,-0.015393128,0.056818777,0.072973884,0.074649467,-0.064001019,0.002261446,-0.259449296,0.115236436,-0.04547219,-0.105514311,0.277914871,0.00494787,0.041055564,0.024742896,0.127858342,-0.019154795,0.171374674,-0.067503834,-0.0687372,-0.253617777,-0.128549462,0.098950677,-0.162181341,0.030450145,-0.042286826,0.00957543,-0.202572069,-0.025457166,-0.44805249,-0.04742703,-0.057625145,0.055952553,0.635986545,-0.147205925,-1.551248014,-0.118465969,-0.059243435,1.004370985,0.281389958,-0.101517617,0.371577823,-0.162625919,-0.04005884,0.406656641,0.055396904,0.177045131,0.245060165,0.06295978,-0.040883231,0.020445402,-0.096914246,-0.098967382,-0.260527099,0.045209459,0.052195355,-0.029725194,-0.012939995,-0.526865233,-0.032697028,0.386552187,-0.106379507,-0.187212196,-0.03600908,-0.798407918,-0.144867067,-0.005708179,0.007327876,-0.015476541,-0.07784869,0.028764119,-0.027247695,-0.009022753,0.054526164,-0.320664631,0.057342863,-0.071451481,-0.124997651,0.279509344,-0.007670045
2016/6/3,-0.044242269,0.090076164,0.192338507,-0.170862555,-0.0237663,-0.019412504,-0.013370068,0.153578323,-0.06451611,0.015921044,0.098899257,0.024943053,0.072655291,0.042881815,0.059537437,-0.145887694,0.135050727,0.001702156,-0.309660023,0.144138393,0.246358098,-0.001122982,0.058126946,0.091560921,0.065919289,-0.055468417,0.022782922,-0.27762174,0.119080259,-0.049169083,-0.096626048,0.286927958,-0.011145228,0.024674583,0.018843308,0.128426424,-0.037158826,0.203428796,-0.096808151,-0.054171943,-0.256496276,-0.129111917,0.128000115,-0.175112613,0.037534273,-0.033741118,0.026207937,-0.217326401,-0.044700407,-0.431565607,-0.039183539,-0.054046857,0.05201293,0.639949748,-0.14355435,-1.567468026,-0.104500535,-0.061608721,0.963109172,0.299484962,-0.117943974,0.321390748,-0.159359264,-0.015838966,0.41948533,0.034220249,0.177950511,0.28749358,0.051253772,-0.031865921,0.042651497,-0.079573852,-0.139942864,-0.237834792,0.059916221,0.049778271,-0.055880952,-0.019739784,-0.543720904,-0.041119008,0.398515232,-0.09339262,-0.19814904,-0.049220817,-0.770223596,-0.169755372,-0.010256326,0.021179656,-0.010184408,-0.105186953,0.020127696,-0.006676165,-0.009408734,0.072082183,-0.323794926,0.061505313,-0.065255312,-0.105635662,0.254793101,-0.022116884
2016/6/4,-0.03448397,0.113850321,0.205735874,-0.170743737,-0.012221089,0.036264819,-0.034574361,0.122869986,-0.081655888,0.004256669,0.121045651,-0.001535323,0.070726092,0.039474194,0.066667303,-0.122598782,0.161801456,0.011386116,-0.301772331,0.135873141,0.259349914,-0.015311688,0.074592903,0.068368438,0.096745394,0.00122019,-0.001953002,-0.292082532,0.166035305,-0.012983741,-0.121282205,0.238764097,0.056553042,0.061947798,0.021632931,0.117544199,-0.084825451,0.23025723,-0.075972431,-0.077665042,-0.206326013,-0.103112224,0.093698966,-0.22835834,0.039419513,-0.051519905,0.027597459,-0.194902765,7.60E-05,-0.437263326,-0.112914676,-0.034214557,0.068368997,0.625222931,-0.09811434,-1.553598172,-0.124243533,-0.001034142,0.979700533,0.298437113,-0.085755403,0.383972628,-0.167167059,-0.036432401,0.389567804,0.037098758,0.224526633,0.250447912,0.022851906,-0.015644689,0.024561087,-0.057278263,-0.090820167,-0.219770282,0.024097977,0.059161804,-0.042433737,-0.010768637,-0.476549435,-0.024306935,0.405458309,-0.116726235,-0.196290857,-0.017755461,-0.79957655,-0.168395506,-0.050592897,-0.052625317,-0.029661814,-0.070995449,0.04513941,-0.01793527,-0.000413252,0.107412296,-0.320865197,0.044191672,-0.07002601,-0.127908549,0.280996057,-0.021992721
2016/6/5,-0.053535739,0.092858816,0.18822784,-0.163840204,0.012149556,0.047980115,-0.013331935,0.123581149,-0.05432354,0.004199227,0.100438239,0.033624698,0.099339423,0.054530151,0.072811363,-0.128879988,0.134102909,-0.031090145,-0.311010355,0.142508665,0.290453368,0.001260182,0.076799021,0.09635828,0.102089043,-0.037132195,0.013024492,-0.271873607,0.179968924,-0.026926173,-0.10981063,0.241051437,0.058163382,0.066738104,0.01786386,0.102686319,-0.041244304,0.23605602,-0.084152779,-0.053196355,-0.241044945,-0.113410108,0.131398175,-0.189320758,0.073349083,-0.058537021,0.030376577,-0.189461094,-0.017642772,-0.406801186,-0.088912843,-0.046362894,0.083405059,0.636555048,-0.135608575,-1.566197536,-0.140394191,-0.004899447,0.953453031,0.311477541,-0.100892113,0.38820073,-0.14525744,-0.023450283,0.391455947,0.045119345,0.212403796,0.246046796,0.013968632,-0.014495289,0.019174489,-0.063692803,-0.106809117,-0.250345731,0.043477257,0.036964491,-0.038327182,-0.008472716,-0.505633796,-0.019558507,0.391864383,-0.095104693,-0.194649585,-0.021480895,-0.764773854,-0.174314543,-0.042443389,-0.013823733,-0.000129521,-0.076011869,0.066051637,-0.041754078,-0.002071428,0.120887136,-0.355206423,0.058998361,-0.088554041,-0.125293595,0.262503288,-0.020040529
2016/6/6,-0.042059281,0.088905922,0.177470718,-0.17958871,0.011789463,0.03833841,-0.002599866,0.107514057,-0.061996532,-0.000604466,0.036042847,0.052682226,0.084572529,0.085877056,0.07012241,-0.120441107,0.174910008,-0.009102251,-0.323837249,0.170209851,0.220554887,-0.039864113,0.110729248,0.076447906,0.067236939,0.015951106,0.044644149,-0.269681909,0.134963216,0.037268372,-0.047698124,0.300123772,0.034857908,0.042060305,-0.000247988,0.083424207,-0.044654715,0.183054282,-0.047536321,-0.060683331,-0.261405737,-0.066539535,0.128452082,-0.172868007,0.041509773,-0.032386946,-0.005668031,-0.200137242,-0.059825448,-0.390609236,-0.041448071,-0.062313356,0.084803038,0.582530363,-0.137464618,-1.487103136,-0.144483264,-0.062345097,0.88432681,0.292629419,-0.081133562,0.332957891,-0.115849133,-0.048601832,0.423976888,0.035470063,0.216239655,0.274010361,0.06400237,0.026353681,0.031679767,-0.06078068,-0.139127202,-0.256338523,0.021116231,0.037079296,-0.019085103,-0.006668445,-0.539692789,-0.028149286,0.393865881,-0.075982294,-0.141372818,-0.007768232,-0.772671843,-0.182287114,-0.00874144,-0.021157161,0.001153589,-0.116131394,0.077909232,-0.057151784,0.063151434,0.097275086,-0.259121512,0.073457393,-0.073568087,-0.167085596,0.225460271,-0.029511309
2016/6/7,-0.046228241,0.097133314,0.162516702,-0.176316524,0.007525724,0.024599783,-0.038681433,0.131736077,-0.063824348,0.032173542,0.078828379,0.021052744,0.096850835,0.055656263,0.074180785,-0.144840475,0.175858942,-0.015945964,-0.293594505,0.171477056,0.225144972,-0.00803427,0.090602907,0.070273136,0.069642093,-0.055585728,-0.003386002,-0.256506327,0.089086335,-0.009014231,-0.106153187,0.267040852,0.011253975,0.070347572,0.001877371,0.114768417,-0.038985368,0.178345564,-0.038658885,-0.096151339,-0.243921879,-0.094772056,0.081684019,-0.154019691,0.083245343,-0.014980019,-0.002602578,-0.213130715,0.001019864,-0.415298558,-0.059310047,-0.045219979,0.06210411,0.616229026,-0.136829863,-1.567229818,-0.150451474,-0.053196154,0.993375424,0.288718087,-0.076251499,0.377364283,-0.148746117,-0.006721381,0.409750767,0.018564099,0.218638163,0.235973265,0.086774562,-0.030033722,0.014234482,-0.098505858,-0.103961275,-0.257283531,0.060719291,0.063876564,-0.000241185,0.007867954,-0.520954748,-0.058258509,0.400427411,-0.063987192,-0.186404499,-0.026905049,-0.795485674,-0.167508123,-0.024651383,-0.059873699,0.001196423,-0.088128961,0.053631698,-0.02581453,0.027289977,0.050294635,-0.323104382,0.05120491,-0.083538821,-0.123190701,0.271533861,-0.035106343
2016/6/8,-0.053611504,0.087343586,0.190292632,-0.155464641,-0.025033061,0.031940252,-0.041461786,0.159999234,-0.015355371,0.007394438,0.04863416,0.055998669,0.100371004,0.079888072,0.089785947,-0.140404851,0.110182146,-0.021936645,-0.326701786,0.152043453,0.231959587,0.002434218,0.08628364,0.050709073,0.059383156,-0.017230764,-0.017150201,-0.273140773,0.128518485,-0.001342455,-0.070174105,0.282185803,0.034136572,0.042523545,0.013787971,0.096155782,-0.024366145,0.183979509,-0.036253646,-0.061587976,-0.290345338,-0.091693701,0.112438878,-0.201128061,0.048411818,-0.021713513,0.033768629,-0.179130167,-0.023629403,-0.420794059,-0.070287533,-0.053898376,0.067506167,0.632611317,-0.134572153,-1.520490503,-0.131799246,-0.07434398,0.952405203,0.291901815,-0.095919319,0.341622155,-0.155738657,-0.037490979,0.40134434,0.079599061,0.200376066,0.24522088,0.0391922,-0.029404664,0.02828211,-0.105871807,-0.113599157,-0.304532661,0.071908505,0.072501514,-0.021066795,-0.008631528,-0.533047423,-0.045744072,0.387976622,-0.079116126,-0.17004361,-0.029917169,-0.780177528,-0.183879847,-0.007817696,0.02520883,-0.022628306,-0.100109184,0.072864486,-0.033012735,0.015051503,0.056101401,-0.342947601,0.064758245,-0.066202268,-0.105983041,0.256347309,-0.023031664
2016/6/9,-0.06771327,0.107006778,0.183962352,-0.141663364,-0.007558101,0.036344792,-0.029252273,0.147187795,-0.038983644,-0.001098993,0.080069178,0.033941663,0.089933065,0.040829111,0.054308238,-0.142911002,0.130531411,0.007455994,-0.320666287,0.145774898,0.225863235,-0.025051941,0.076124461,0.043032935,0.061396728,-0.048084572,0.001467443,-0.257255008,0.098766282,-0.043465564,-0.085429531,0.277390668,0.007799148,0.04501944,0.024951197,0.150576896,-0.035648825,0.187858316,-0.064383885,-0.083278081,-0.257639023,-0.111416205,0.109386068,-0.179589216,0.055726253,-0.049782846,0.0079709,-0.192140039,-0.016659149,-0.427520946,-0.05503527,-0.053763771,0.072419491,0.622525519,-0.14568483,-1.551627738,-0.107771503,-0.048140135,0.986513126,0.270238683,-0.11989897,0.344557755,-0.146986582,-0.046650592,0.400895897,0.044047148,0.189988674,0.237239384,0.043336832,-0.037725297,0.018289051,-0.084414736,-0.109345072,-0.273597116,0.027923901,0.061491006,-0.020697377,-0.020226079,-0.536639251,-0.033898189,0.390560512,-0.106495641,-0.169514117,-0.023052134,-0.772793152,-0.175341148,-0.025822661,-0.008796314,-0.02525525,-0.088006284,0.043555883,-0.026550035,0.017482555,0.050926813,-0.327619137,0.055234756,-0.055818879,-0.107933749,0.280356255,0.010750943
2016/6/10,-0.052597909,0.083357052,0.199536236,-0.159667284,-0.012910315,0.035424507,-0.04073849,0.158878938,-0.066847225,0.001257502,0.062094719,0.031149774,0.083676907,0.035900961,0.0483038,-0.138403912,0.1403448,0.008976038,-0.294290718,0.141430648,0.216437053,-0.020759756,0.070230949,0.050618091,0.089935188,-0.047865621,0.002552542,-0.257744287,0.117141665,-0.025293089,-0.092117342,0.29448396,0.00917822,0.041965679,0.034252434,0.142774091,-0.050957628,0.179379558,-0.074934831,-0.083766301,-0.232265959,-0.108783436,0.123708432,-0.196414014,0.043383082,-0.017236911,0.022639946,-0.193578939,0.007486393,-0.432925915,-0.048873414,-0.053613452,0.063125137,0.619362354,-0.145571024,-1.558717598,-0.143508394,-0.03596806,0.992582078,0.26424323,-0.102520147,0.335158486,-0.159172757,-0.039417984,0.398912201,0.042398694,0.199484519,0.250562747,0.046548076,-0.035111549,0.015157102,-0.079974254,-0.115974219,-0.289942015,0.041678776,0.048519017,-0.02396803,-0.008389028,-0.524941768,-0.033879498,0.395524805,-0.084643077,-0.153759616,-0.037482214,-0.781755178,-0.197424243,-0.027471503,-0.014396005,-0.010159429,-0.098183325,0.039960433,-0.032129333,0.017486324,0.061833186,-0.319299943,0.054177465,-0.042976592,-0.10317089,0.290966048,-0.014805377
