Date,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99
2016/6/1,-0.049784878,0.124282094,0.252536218,-0.162378025,-0.004445257,-0.03643115,-0.020716562,0.111945535,-0.150133907,-0.006619883,0.067478548,0.043024751,0.053908639,0.09041595,0.0194139,-0.140605911,0.191938142,0.012460398,-0.272364955,0.18967828,0.191967718,-0.016603563,0.109241736,0.082226786,0.150413013,-0.073549529,-0.007049026,-0.321617362,0.112609922,-0.00462438,-0.104500303,0.291931574,-0.047017425,-0.010697719,0.08612436,0.136132239,-0.036530788,0.152397473,-0.046916603,-0.073258434,-0.233699843,-0.143638772,0.147172078,-0.131049451,0.098937391,0.004855155,0.03875872,-0.188419573,-0.015705061,-0.359856152,-0.03784411,-0.048238409,0.068480537,0.609939304,-0.118356651,-1.56799625,-0.190951414,-0.008501528,0.961471391,0.234430817,-0.089370097,0.362513335,-0.129581955,-0.010150603,0.370381607,0.000565872,0.140510802,0.27078737,0.065677647,-0.042728229,0.02504949,-0.117695969,-0.13686326,-0.206637227,0.003155836,-0.024197047,0.025597099,-0.02749123,-0.527380526,-0.004357426,0.383096259,-0.068167259,-0.126970044,0.010289762,-0.696113487,-0.175930943,-0.045525785,0.008513757,-0.00894462,-0.075455782,0.043192539,0.01069478,0.016322049,0.030997413,-0.305669683,0.087488984,-0.106087725,-0.114764763,0.279649905,-0.06710951
2016/6/2,-0.051220928,0.105942582,0.204394663,-0.117505143,-0.000837539,0.116766269,-0.083067831,0.11702248,-0.042459821,0.02929979,0.021210763,0.039262659,0.070692572,0.085171449,0.031203394,-0.079423782,0.174031541,-0.02308212,-0.345625845,0.233114047,0.23326993,-0.05351513,0.101884784,0.034056651,0.064831223,-0.072466955,-0.011190781,-0.315320374,0.134731467,-0.027057115,-0.100794323,0.23189231,0.002067429,0.035078782,0.02306756,0.097925081,-0.02605676,0.134766436,-0.064992409,-0.050660499,-0.308321047,-0.10624691,0.131609318,-0.172961901,0.061938316,-0.057730447,0.038025559,-0.133095235,-0.017374664,-0.403897617,-0.025598556,-0.049242956,0.068744103,0.602682999,-0.158071274,-1.559758569,-0.162919329,-0.043610959,0.967763857,0.249963479,-0.082935903,0.365780146,-0.094030973,-0.113028409,0.378033115,0.06699125,0.125223286,0.264262453,0.034448496,-0.071455643,-0.006488829,-0.096147762,-0.135731614,-0.255276426,-0.025047347,-0.006673387,0.018773514,0.002735953,-0.524023626,-0.058716648,0.406528145,-0.104334196,-0.117644422,0.013011476,-0.769889419,-0.174285601,-0.048413211,0.026999499,-0.029852734,-0.091856137,0.021333255,-0.053821645,0.003949273,0.074641803,-0.321461033,0.078494272,-0.067566891,-0.105736455,0.250817333,-0.041877695
2016/6/3,-0.054693055,0.117136222,0.199980381,-0.131386444,0.010026829,0.02044359,0.009363949,0.126405612,-0.117444656,-0.019623743,0.023028252,0.009690774,0.02786794,0.051196003,0.019903526,-0.121765412,0.189229145,-0.006439148,-0.341752,0.197893376,0.199385856,-0.030599205,0.118025655,0.10402168,0.072325707,-0.064951467,0.037705152,-0.348481508,0.137865337,-0.026800309,-0.080401388,0.269543606,0.004523338,0.019548171,0.046819893,0.079578009,-0.059172051,0.169304365,-0.106713453,-0.038301709,-0.302633608,-0.124933482,0.16149684,-0.169624636,0.044027088,-0.077600866,0.035161331,-0.204356223,-0.065877436,-0.402239994,-0.006478823,-0.073897148,0.033331795,0.649412444,-0.108124931,-1.654723665,-0.112252645,-0.069551222,0.958573117,0.266695035,-0.079517119,0.310714893,-0.104968394,-0.02066812,0.429725139,0.035156822,0.130854626,0.305912575,0.065169218,-0.050021184,0.049845687,-0.087548279,-0.186845824,-0.212958699,0.004329409,-0.01048408,-0.010406721,-0.036636634,-0.562861589,-0.06647595,0.441312955,-0.078706211,-0.116309909,-0.04257577,-0.80177543,-0.208297667,-0.007875156,0.062988353,0.018510374,-0.139829698,0.000171319,-0.012166697,0.00434874,0.134163,-0.331185974,0.074208344,-0.07032461,-0.077285132,0.273902157,-0.050635407
2016/6/4,-0.028960911,0.109536828,0.183207075,-0.174941461,-0.000840022,0.018442222,-0.038639278,0.065399328,-0.14226951,0.008895771,0.090049094,-0.035668835,0.073722277,0.00871552,0.038725829,-0.118522962,0.177441445,-0.00943243,-0.359397308,0.170581629,0.224760372,-0.057239646,0.118642963,0.084267169,0.092718705,0.027150101,0.027866674,-0.313498304,0.221216589,0.076278168,-0.087746699,0.184879832,0.040868348,0.078863185,-0.028140146,0.091782844,-0.097791561,0.278339329,-0.132893482,-0.052763788,-0.298425453,-0.046326189,0.206171878,-0.259850317,0.074019297,-0.093784142,0.044421621,-0.176049471,-0.031234738,-0.391211307,-0.05666538,-0.034915042,0.137810011,0.656065528,-0.087506902,-1.510255664,-0.198819579,0.029279947,0.907425826,0.265769568,-0.044313224,0.370535453,-0.105733141,-0.115105649,0.468462928,0.025415527,0.22315177,0.265269823,0.013053775,0.036371521,0.020676384,-0.039233057,-0.107806686,-0.179922474,-0.02213715,0.019076095,-0.035835118,-0.039536572,-0.495364244,-0.027714607,0.495928568,-0.135364905,-0.106476359,-0.045003423,-0.799231403,-0.237558361,-0.110893821,-0.108797472,-0.007273981,-0.105645605,0.103806818,-0.015383973,0.068891496,0.127816196,-0.326995826,0.0283897,-0.037922662,-0.124217839,0.242938917,-0.084536293
2016/6/5,-0.073484127,0.079364296,0.175611072,-0.154996487,0.035650826,0.056610242,-0.039804515,0.096233129,-0.119982238,0.035117114,0.04058628,0.006653206,0.083669218,0.063491858,-0.00424751,-0.109142494,0.158548421,-0.079606454,-0.321024955,0.211495687,0.276433385,-0.043416955,0.125839681,0.088302854,0.122781168,-0.023291938,0.020942067,-0.305071437,0.253125503,0.009760573,-0.122873231,0.209801351,0.027054622,0.045334539,0.025821961,0.051082298,-0.06873867,0.250992955,-0.141867257,-0.059113224,-0.292675819,-0.086538258,0.175882596,-0.205985575,0.08405151,-0.066476705,0.079574291,-0.159358766,0.014262677,-0.37589737,-0.045848696,-0.036678482,0.12052327,0.670680546,-0.121320916,-1.570705894,-0.196767887,-0.019304558,0.923812716,0.297188101,-0.049635487,0.403599705,-0.142237109,-0.081521379,0.4274837,0.094708245,0.158827564,0.240745564,-0.008510448,-0.033662744,0.007172822,-0.082979617,-0.119230245,-0.211703117,-0.002909288,0.018441233,0.020113838,-0.033069518,-0.504162748,-0.00341334,0.440092142,-0.054575147,-0.110795638,0.003323323,-0.749675891,-0.22578651,-0.087842039,-0.017553442,-0.01606638,-0.07641969,0.087812642,-0.048624223,0.031176979,0.126413449,-0.369720838,0.043618762,-0.048877889,-0.07529742,0.287321276,-0.074682311
2016/6/6,-0.053023522,0.104178681,0.198719189,-0.186816315,-0.008379251,0.10223067,-0.008958766,0.062969767,-0.109589945,0.025619799,-0.012468729,0.071971213,0.101053964,0.113476356,0.078693708,-0.095337899,0.209122301,-0.029715181,-0.327619618,0.248622636,0.273270107,-0.073456749,0.129872439,0.081291251,0.105150727,0.050660318,0.026073221,-0.34097585,0.140252392,0.054307411,-0.003590273,0.273461001,0.021155052,0.015752966,0.018942943,0.057385284,-0.080391533,0.1248601,-0.025682607,-0.065749889,-0.278282868,-0.030596679,0.193622478,-0.1820115,0.110112832,-0.008651434,0.021090354,-0.207471037,-0.051639499,-0.395601881,-0.004517306,-0.074295449,0.110931351,0.648991637,-0.07450611,-1.519762828,-0.232010307,-0.060375294,0.970746944,0.284448168,-0.062702402,0.379612036,-0.083200024,-0.053890046,0.492699267,0.027616898,0.223994016,0.265122086,0.065037452,0.0500943,0.041965847,-0.086652797,-0.154815315,-0.226229822,8.94E-05,0.020224512,-0.00920084,0.002332597,-0.53718362,-0.032679367,0.421468056,-0.026549956,-0.084387726,0.004832492,-0.816412079,-0.194795468,-0.052637078,-0.055164872,0.002124624,-0.173450725,0.062273723,-0.029406884,0.084379325,0.080351067,-0.244163037,0.06539464,-0.098185069,-0.158957966,0.228793993,-0.089532703
2016/6/7,0.012351988,0.117746712,0.181210711,-0.181074016,0.019035024,0.044383366,-0.050147554,0.084138217,-0.124441088,0.034913194,0.058297577,0.023148679,0.080608417,0.044094628,0.04797307,-0.123088851,0.200913708,-0.038538604,-0.277144094,0.184244441,0.221250937,-0.030377113,0.113000954,0.055583939,0.115749704,-0.088590579,0.005462564,-0.280499348,0.098457833,0.025951553,-0.11686391,0.235011262,-0.005304238,0.097150945,-0.007662023,0.099813298,-0.064729668,0.129962861,-0.033668958,-0.090896747,-0.254102539,-0.084669892,0.075222045,-0.156103724,0.153285227,-0.00107177,0.002195249,-0.188032679,0.016593413,-0.388500547,-0.041223597,-0.032332272,0.082622582,0.591820731,-0.104885373,-1.583895984,-0.180920902,-0.03180462,1.012003313,0.261448928,-0.036383283,0.358188871,-0.113489953,-0.033481539,0.410096033,0.035992284,0.161681784,0.240929044,0.106637132,-0.045633117,0.026631773,-0.095750092,-0.156498897,-0.212360523,0.020256575,0.007371054,0.067005691,-0.023326007,-0.512871315,-0.088656856,0.448382746,-0.026876481,-0.144213627,-0.014032201,-0.759042851,-0.19023806,-0.053847007,-0.081810742,0.055158893,-0.072548139,0.055736545,0.024829199,0.072467157,0.053137904,-0.317222417,0.063552615,-0.074168545,-0.095531087,0.32836859,-0.103160739
2016/6/8,-0.053524988,0.107084605,0.193166596,-0.162421127,-0.057345531,0.063053102,-0.062460081,0.125440153,-0.019667549,-0.000914415,-0.009644079,0.11099208,0.06795274,0.121194288,0.089161578,-0.063165941,0.124196816,-0.03468615,-0.312349562,0.181082035,0.228337702,-0.03097389,0.108460916,0.027446511,0.098324741,0.013009093,-0.093592598,-0.311816572,0.113218512,-0.002946798,-0.059918175,0.290724507,0.014745375,0.09519237,0.037689328,0.039541704,0.00227802,0.101815359,0.02001655,-0.051233456,-0.308311397,-0.090890788,0.13373075,-0.209885656,0.049466145,-0.016868194,0.029148821,-0.161792185,-0.011652195,-0.424439019,-0.048024096,0.011929369,0.030676923,0.673551459,-0.12312122,-1.514031981,-0.157559433,-0.0559488,0.940351087,0.240430452,-0.079071679,0.354688478,-0.117648056,-0.019917713,0.419488721,0.058196763,0.172353999,0.240199281,0.004604246,-0.089657179,-0.003289751,-0.147034781,-0.142012413,-0.296642457,0.054824465,0.050448113,0.009943321,-0.033561005,-0.508883877,-0.02896276,0.447543547,-0.036117301,-0.151735527,-0.047479943,-0.757325599,-0.1929336,0.058550247,0.07863602,-0.054133205,-0.119510589,0.07913003,-0.010969435,0.019598254,-0.015548943,-0.311447693,0.04874977,-0.045407401,-0.053308925,0.231385867,-0.053788068
2016/6/9,-0.017601828,0.113848463,0.180827208,-0.110244351,-0.000561108,0.078216681,-0.031275693,0.136392555,-0.071643436,0.03967106,0.058706528,0.045048704,0.054430665,0.083329362,0.044367011,-0.127183523,0.123519529,-0.059580943,-0.332544358,0.190919984,0.275550441,-0.035520232,0.092575745,0.082038629,0.098323329,-0.067814778,-0.008685998,-0.303477101,0.11336907,-0.030606959,-0.064235641,0.247493494,0.040757166,0.016157993,0.02303253,0.10355944,-0.017503025,0.19678431,-0.081172075,-0.033524276,-0.290608252,-0.09918878,0.203659535,-0.215053927,0.124430672,-0.061164294,0.023141736,-0.182643788,-0.003063261,-0.390763153,-0.038185704,-0.045666005,0.123355606,0.648252248,-0.143828544,-1.572804003,-0.163753957,-0.053788882,0.998505507,0.250066774,-0.080483333,0.332449298,-0.139948191,-0.060235393,0.374537871,0.052437896,0.165671716,0.25647311,0.067739565,-0.019049647,0.035334412,-0.083375091,-0.141551445,-0.276058339,-0.011626281,0.053761946,-0.018462156,-0.000639139,-0.576821165,-0.019605495,0.431391201,-0.101895337,-0.131216645,-0.017786459,-0.775776921,-0.202040775,-0.067930841,-0.001034962,0.036334873,-0.12701842,0.060150798,-0.054467212,-0.00543573,0.087403946,-0.347668838,0.081591864,-0.045534819,-0.056838262,0.259196575,-0.011199217
2016/6/10,-0.057078825,0.098334807,0.219158272,-0.133266763,-0.022951281,0.081923126,-0.032161161,0.08310833,-0.110170825,-0.01441709,0.023781335,0.026168004,0.084022324,0.072142343,0.039945879,-0.135287732,0.171046549,-0.032601378,-0.312565217,0.179817227,0.195276725,-0.003264293,0.113854113,0.014333975,0.096044908,-0.037734665,0.00923642,-0.2533627,0.107945341,-0.002769485,-0.093136807,0.287019484,0.034620567,0.043099421,0.062764477,0.095901807,-0.076128053,0.165318851,-0.104557334,-0.107132284,-0.236769921,-0.099451977,0.183213248,-0.239685145,0.0798883,-0.04533979,0.050462946,-0.147934447,0.038252854,-0.425753913,-0.025776779,-0.025034333,0.092510062,0.636652999,-0.159165489,-1.554873984,-0.174255355,-0.008101051,0.952069486,0.237974893,-0.068623133,0.314301997,-0.125368968,-0.061765233,0.416884715,0.059255712,0.137644147,0.244417067,0.074545518,-0.035192202,0.02907519,-0.057256957,-0.121301171,-0.2680463,0.01672378,0.036092536,-0.008311768,-0.01238303,-0.506589068,-0.029049637,0.41668998,-0.082276062,-0.108011274,-0.063292924,-0.738006768,-0.232016242,-0.068818188,0.000979793,0.05381806,-0.067434563,0.025885949,0.005833867,0.011589121,0.100443456,-0.332177709,0.024077234,-0.024173448,-0.084959497,0.287522593,-0.053425184
