Date,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99
2016/6/1,0.013119411,0.109677188,0.24253709,-0.240105711,-0.02096147,0.014103183,-0.024015411,0.133935185,-0.155896804,-0.058640896,0.108929186,0.071645042,-0.004352298,0.106096315,-0.0134914,-0.088691549,0.224216142,0.090755913,-0.259393852,0.148867284,0.1678608,-0.002243908,0.119840162,0.070496488,0.237506916,-0.058556691,-0.04162752,-0.283649736,0.126659551,-0.015525091,-0.159454344,0.245151721,0.010351058,0.051444616,0.169216451,0.079863261,-0.063842937,0.111773549,-0.075531517,-0.08558022,-0.21682642,-0.133274796,0.153069077,-0.070610853,0.094294463,0.054201586,0.038512008,-0.190128073,0.010686192,-0.29894274,0.010696083,-0.038027632,0.064722844,0.536705974,-0.160100472,-1.462923499,-0.24138419,-0.016378446,0.814958593,0.202952071,-0.070976083,0.341675168,-0.097171176,0.030558386,0.277492732,-0.003171182,0.018636555,0.307948537,-0.015391034,-0.029958096,0.009111264,-0.07205336,-0.122535454,-0.176541136,0.023516664,-0.052745913,0.0644454,-0.05830203,-0.427650586,-0.002127307,0.316140194,-0.052216899,-0.063623669,0.002103815,-0.62891166,-0.170569398,-0.072351302,0.041431264,-0.008388516,-0.041683345,0.00058919,0.025093538,0.037482615,0.116462882,-0.168678864,0.118430141,-0.047028523,-0.06818522,0.221359129,-0.101119123
2016/6/2,-0.050733951,0.091692989,0.170715046,-0.159027917,-0.005557448,0.108641203,-0.051754156,0.092931791,-0.116479074,-0.000869106,0.034125216,0.098444715,0.033169527,0.092290066,0.058313268,-0.055462587,0.106511839,-0.041312385,-0.326400647,0.195588891,0.233758143,-0.073201474,0.110849355,0.068436472,0.12891051,-0.057435016,0.003590197,-0.304794606,0.1586203,-0.022079347,-0.08732005,0.198088969,-0.006979365,0.05169183,0.04191752,0.051066616,-0.049222912,0.085610102,-0.049096873,-0.017172156,-0.254341993,-0.121125683,0.194174803,-0.192624305,0.073657934,-0.020324783,0.02419154,-0.152790478,-0.008668866,-0.368433541,-0.066126026,-0.067592678,0.059855912,0.559356863,-0.171625195,-1.461794733,-0.170370081,-0.044177123,0.839896565,0.22240082,-0.070621083,0.341018055,-0.127457419,-0.075002216,0.288550992,0.071254181,0.077718789,0.260377112,-0.068283155,-0.059180691,-0.023258298,-0.072000036,-0.129750153,-0.195349434,0.003167351,-0.014759799,0.041626428,0.011351248,-0.468335785,0.013013404,0.383473367,-0.089613055,-0.060522687,0.01056871,-0.64737687,-0.170012843,-0.067769006,0.040124033,0.022242534,-0.056452795,0.016735178,-0.048055886,-0.025144279,0.144305384,-0.262359997,0.067715392,0.023290166,-0.060800458,0.22192833,-0.130444785
2016/6/3,-0.029148774,0.07738657,0.200654814,-0.165954647,0.011917036,0.029404983,0.037456027,0.09764034,-0.115905833,-0.016266314,0.016649454,0.025135609,0.004886555,0.066331765,0.022270952,-0.047958806,0.137108027,0.028101689,-0.293467986,0.209173349,0.158350947,-0.100595756,0.093757881,0.175739781,0.102144813,0.051309818,0.01378044,-0.321320871,0.138482724,-0.040239497,-0.046590661,0.188140894,0.021805258,0.043634089,0.041271711,0.011772945,-0.103048987,0.124623763,-0.123290873,0.005774458,-0.323518143,-0.139559332,0.229110735,-0.218129083,0.041969911,-0.00666102,0.060547222,-0.184912588,-0.060531073,-0.326086156,0.02358161,-0.049205599,0.027089391,0.644167426,-0.167291268,-1.542836583,-0.163339579,-0.034547936,0.815756271,0.252805933,-0.096870039,0.292450532,-0.118825046,-0.017391373,0.382325753,0.055522815,0.034939375,0.319978371,-0.037837707,-0.079003757,0.0156055,-0.084994025,-0.215920363,-0.073732165,-0.011640528,0.018874574,-0.010236091,-0.039258228,-0.512665531,-0.053004426,0.469357731,-0.115827052,-0.119325768,-0.052727624,-0.669209025,-0.262208399,-0.014851575,0.132094658,0.043725683,-0.098451719,-0.006777862,0.063436394,-0.042172209,0.128857751,-0.268212793,0.092319187,-0.004850882,0.018175986,0.23323366,-0.126820518
2016/6/4,6.17E-05,0.032196237,0.090252728,-0.269056433,-0.010121199,-0.024948974,-0.098982178,0.062539841,-0.123381817,0.078466294,0.087240326,-0.097917912,0.138600707,0.011260462,0.094687578,-0.116141473,0.114066324,-0.051672926,-0.492802533,0.16623337,0.225594916,-0.157397508,0.169201042,0.072688839,0.052506136,0.143754147,-0.018119807,-0.292592153,0.240437683,0.208901673,-0.039240819,0.053233558,0.084964562,0.130105972,-0.097328593,0.057868982,-0.098382247,0.37417066,-0.135617364,-0.072585408,-0.293576863,0.053554331,0.313118519,-0.352641925,0.027591888,-0.090339473,0.034489994,-0.093894563,-0.022918233,-0.324366593,-0.058447519,0.027501788,0.237451232,0.728408847,-0.141840785,-1.362962198,-0.31934342,0.052354917,0.801415419,0.265940131,0.051200413,0.377271122,-0.051177271,-0.225382716,0.44798507,0.05823344,0.234730963,0.288665002,-0.10902161,0.096124684,0.020251089,-0.071312051,-0.019107733,-0.192496204,-0.052117398,0.079298854,-0.024241121,-0.011070111,-0.462344671,0.026137895,0.556558023,-0.229733906,-0.149123899,-0.105913413,-0.765243715,-0.262224261,-0.135492174,-0.233199367,0.029767528,-0.12842887,0.231867465,0.023978824,-0.011530824,0.172330355,-0.279960699,-0.037138983,0.058439513,-0.097092917,0.232763804,-0.171556503
2016/6/5,-0.055753361,0.032310642,0.100498842,-0.17563475,0.016940519,0.091311587,-0.084403068,0.04409406,-0.113700547,0.034639514,0.082967763,0.004404118,0.08500896,0.099957653,0.016241115,-0.106758892,0.078838068,-0.09518672,-0.412524691,0.171393643,0.295797906,-0.156814498,0.20396551,0.142106788,0.167781186,0.068785434,-0.018874977,-0.322134484,0.331417403,0.057481656,-0.099460834,0.150230099,0.066205324,0.045315394,0.042255939,-0.025507828,-0.08721578,0.275057683,-0.0917889,0.00604684,-0.31058793,-0.055659957,0.264958655,-0.283108787,0.110448734,-0.043913608,0.076053107,-0.096520534,0.015153663,-0.326672883,-0.052448557,0.001981657,0.156344212,0.726198885,-0.126586754,-1.39367053,-0.242856915,-0.009116562,0.771096075,0.247572046,-0.021240154,0.381919548,-0.082450825,-0.094184287,0.398638809,0.087538632,0.136185895,0.253877113,-0.097520491,-0.026187116,0.005524483,-0.11243152,-0.071894426,-0.177231226,0.005525027,0.05572616,-0.005775643,-0.042127838,-0.456951859,0.008972024,0.440955018,-0.088755625,-0.100570593,-0.006323988,-0.627885635,-0.250648082,-0.138776763,-0.047855088,0.027856447,-0.128655641,0.116894816,-0.058022472,-0.003784972,0.19314824,-0.330328656,0.025115055,-0.023331301,-0.055017087,0.181005531,-0.133691812
2016/6/6,0.008181291,0.065479545,0.189539562,-0.228487303,-0.01110281,0.144861786,-0.00029742,0.049553447,-0.151069318,-0.001403425,-0.050438327,0.050301212,0.084395706,0.102740774,0.080093955,-0.009627841,0.184199882,0.007961605,-0.292029547,0.257342718,0.20632849,-0.158963605,0.171085375,0.043982039,0.19612954,0.138564733,-0.020782615,-0.275867083,0.146428173,0.085109412,-0.001549358,0.299566767,0.041884635,-0.002929879,0.052592012,-0.032659869,-0.111640386,0.142880671,-0.054602523,0.039071928,-0.321782038,0.006295495,0.23933215,-0.199076822,0.09003394,0.018526576,0.044501729,-0.190572772,-0.095219494,-0.334431706,-0.012001645,-0.049126724,0.09029778,0.651377228,-0.10838348,-1.439333556,-0.251776986,-0.066609174,0.795184843,0.249535688,-0.047755288,0.35372117,-0.052069487,-0.046726231,0.456412129,0.015668204,0.155301651,0.232414607,0.024334476,0.024358053,-0.003837567,-0.105719901,-0.154718731,-0.150261925,-0.003039345,0.049030114,0.013354078,-0.052945141,-0.475754164,-0.035233224,0.375409852,-0.022665475,-0.045813361,0.024675553,-0.759409283,-0.229644988,-0.000528616,-0.044296645,-0.0249961,-0.151448807,0.040121237,-0.033699373,0.100432417,0.110141884,-0.18102514,0.036063307,-0.077406031,-0.132588255,0.171475914,-0.125982505
2016/6/7,0.021927335,0.099306488,0.112380321,-0.200110157,-0.01380022,0.029499748,-0.089310072,0.07466289,-0.123977626,0.003593258,0.038380226,0.029110134,0.052268702,0.089005292,0.071772818,-0.115150436,0.140641306,0.008560912,-0.222422792,0.167033198,0.175615803,-0.085618024,0.172974987,0.053733709,0.164129486,-0.017320227,-0.056946701,-0.204192418,0.039644299,0.101472296,-0.060590011,0.17471794,0.023563832,0.083625186,-0.015413558,0.085842664,-0.0658449,0.068691748,-0.004538139,-0.034334051,-0.247611169,-0.074991162,0.065959408,-0.169926305,0.159639021,0.050843881,0.051581203,-0.12358889,0.080071902,-0.334672892,-0.033454225,-0.002341484,0.096307711,0.591022198,-0.118355313,-1.460404242,-0.186770361,-0.061907025,0.806240733,0.176267698,0.017190717,0.313348502,-0.121261275,-0.019899258,0.381904289,0.053982959,0.094135369,0.174690405,0.084548907,-0.10750338,-0.025841048,-0.144200351,-0.140552568,-0.159751833,0.020705745,-0.013599244,0.092698293,0.022174395,-0.404638012,-0.024078523,0.376092134,-0.012503345,-0.097068237,-0.001966261,-0.601482874,-0.213910656,-0.030189159,-0.067275038,0.069579951,-0.009730999,0.040348462,0.017051547,0.047771228,0.111840957,-0.272793636,0.006883827,-0.007319269,0.00592597,0.28650584,-0.162586331
2016/6/8,-0.031079618,0.05190807,0.188573427,-0.167023039,-0.063541371,0.099113587,-0.017727122,0.118745029,0.00246113,-0.030660181,-0.019116318,0.148921511,0.032709858,0.117538816,0.102186275,-0.09200651,0.040861626,-0.022338551,-0.280253741,0.208474913,0.154564961,-0.08341971,0.149954744,0.079909009,0.113866172,0.041204047,-0.092317888,-0.222840852,0.116982562,0.00251359,0.039323755,0.269552506,0.098563846,0.071864499,0.014313559,0.013517097,0.019105382,0.084380505,-0.005354957,0.034552461,-0.347984908,-0.024593424,0.133169713,-0.1731592,0.03599525,-0.023035588,0.041011251,-0.131744832,-0.024143677,-0.307850811,-0.024299318,0.042033345,0.05571915,0.588972095,-0.116888382,-1.222548767,-0.143603375,-0.053869281,0.685226738,0.170961984,0.002261781,0.295147532,-0.056640677,-0.101428071,0.407426462,0.05070789,0.092142279,0.176544492,-0.038926723,-0.103488469,-0.036453579,-0.121491233,-0.103111825,-0.157159439,0.02941691,0.087159807,0.05711467,-0.084347853,-0.423762367,-0.014995462,0.370587288,0.005230765,-0.066859268,-0.05912621,-0.587474408,-0.153543788,0.019989394,0.057643996,-0.044985541,-0.168930392,0.093179829,0.011314593,-0.013772943,-0.039633636,-0.273032344,0.024054724,-0.008591779,0.014386875,0.15628796,-0.078932025
2016/6/9,-0.049207167,0.024496581,0.153814202,-0.111144646,0.003893107,0.1029497,-0.062066991,0.153953779,-0.019513098,0.012067932,0.019159746,-0.040744952,0.066594399,0.03578627,-0.028054756,-0.107425153,0.122264406,0.015630843,-0.335828048,0.166836249,0.142268231,-0.083927702,0.052904758,0.079812111,0.083860893,-0.020291415,-0.024240925,-0.219433648,0.115340014,0.012047644,-0.040050858,0.223366132,0.065874513,0.057634678,0.034679712,0.110493598,-0.054445109,0.165882793,-0.038002699,-0.02233215,-0.288027783,-0.079773662,0.28370912,-0.176042786,0.009742657,-0.090097324,-0.01131929,-0.144674172,0.04325458,-0.249161896,0.003680431,-0.007899514,0.157964765,0.620198039,-0.15408809,-1.372049038,-0.188116949,0.038245732,0.808650255,0.165874789,-0.040131455,0.280208087,-0.039655926,-0.08635285,0.385350105,0.082725404,0.156588283,0.276876622,-0.038348982,-0.042605334,0.070446663,-0.08353597,-0.115813383,-0.251882463,0.002250139,0.066575194,-0.006889212,-0.001779906,-0.484983513,-0.089756032,0.319778763,-0.143864093,-0.039560784,0.009935746,-0.65540413,-0.168205203,-0.092038166,0.028462897,0.06696113,-0.140053073,0.095377774,0.073847777,0.045527736,0.069261691,-0.231567173,0.011833476,0.046817483,-0.003662796,0.205771391,-0.011393593
2016/6/10,-0.033338134,0.070443596,0.168800114,-0.124900321,-0.006571909,0.03238979,-0.091581969,0.081626008,-0.068745374,0.006099114,0.005064444,0.049241719,0.073742554,-0.002163581,0.008655131,-0.113595782,0.116923131,-0.04969054,-0.311698522,0.202783488,0.179556181,-0.077559627,0.136953197,0.074914961,0.075681494,0.042281735,-0.030005457,-0.243075296,0.110933747,0.061278642,-0.036968283,0.286432917,0.043369947,0.074945645,0.051674676,0.130684079,-0.015327716,0.141599682,-0.080357506,-0.12448774,-0.261492766,-0.101342565,0.25845056,-0.258071044,0.002717904,-0.049436271,0.036078366,-0.112608185,0.017455354,-0.415068023,0.064874092,-0.004471492,0.161056678,0.683049437,-0.193656076,-1.465254243,-0.228645489,0.001219597,0.916428862,0.143063834,-0.006250576,0.306401004,-0.118301528,-0.136945731,0.340837347,0.091912966,0.11313871,0.175360644,0.011257951,-0.075323679,0.022112309,-0.073363653,-0.115103091,-0.230794714,0.008041613,0.021763344,0.025385622,-0.029587685,-0.516999996,0.003721053,0.436741383,-0.114788056,-0.04714267,-0.096256062,-0.72580425,-0.251830931,-0.082404667,-0.02355332,0.03153663,-0.16235329,0.071405712,0.045998419,0.021049316,0.03082374,-0.29802794,-0.005971748,0.047838219,-0.054263819,0.267333163,-0.073226032
