Date,Topic-0,Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18,Topic-19,Topic-20,Topic-21,Topic-22,Topic-23,Topic-24,Topic-25,Topic-26,Topic-27,Topic-28,Topic-29,Topic-30,Topic-31,Topic-32,Topic-33,Topic-34,Topic-35,Topic-36,Topic-37,Topic-38,Topic-39,Topic-40,Topic-41,Topic-42,Topic-43,Topic-44,Topic-45,Topic-46,Topic-47,Topic-48,Topic-49
2015-07-02,0.040658158,0.143507852,0.036873909,0,0.005396568,0.003021465,0.016701533,0.020267451,0,0.054678226,0.005649539,0.004776975,0.015582534,0.027049831,0.024977696,0.003915316,0.020130234,0.023898805,0.007809633,0.015403995,0,0.040243098,0.005454917,0.002663778,0.002207297,0.022498688,0.016839547,0.042815761,0.009022763,0.012698117,0.014049501,0.003522673,0.001187118,0.02422067,0.004347194,0.039639119,0.00932915,0.004178563,0.035296702,0.006679522,0.012673894,0.040823572,0.041111738,0.052449974,0.025615133,0.035234407,0.014538373,0,0,0
2015-07-03,0.051907734,0.065359999,0.014608716,0.060414707,0.090407114,0,0.041200426,0.032601357,0,0.023111538,0.023392893,0,0.03882433,0.024350798,0,0,0.031260759,0.002668055,0.026440582,0.010260248,0,0.007234684,0.022171661,0.032681611,0.000750882,0.024818663,0.000592791,0.005887344,0.002285592,0.015934833,0.037977695,0.06141337,0.001148844,0.014464756,0.002853687,0.020037859,0.00804023,0.006626171,0.017436445,0.006337308,0,0.001936203,0.0428169,0.041727626,0.0575415,0.009166979,0.010426895,0,0,0
2015-07-04,0.009920516,0.021204931,0,0.003182958,0.032438765,0.032541221,0.032750457,0.020685022,0,0.068842666,0.002224877,0.046179918,0.040449585,0.042118094,0.028686042,0.018535859,0.014884889,0.016578923,0.053191523,0,0.004096188,0.021434793,0.018859339,0.099510667,0.040794507,0,0.023376448,0.004685392,0.006389603,0.020129083,0.038147555,0.026746737,0,0.007675346,0.014246649,0.005095103,0.028072959,0.001185862,0.034307878,0.000825109,0.005864684,0.040338629,0.007164742,0.008920612,0.032759551,0.005344746,0.011634311,0,0,0
2015-07-05,0.008298271,0.12851571,0,0,0.14765399,0.004005335,0.002696214,0.006855747,0.000506252,0,0.004645863,0.002601844,0,0.003526599,0.088305761,0.016210204,0,0.017254797,0.001458563,0.023173295,0.001946296,0.004019767,0.019574968,0.040005315,0.009324337,0.010011665,0.042714538,0.037115006,0.01976883,0.011032576,0.037716901,0.009985649,0,0,0,0,0.011538505,0.007810403,0.016298529,0.045841675,0.006418705,0.018820425,0.029938556,0.064883018,0.044862282,0.008739645,0.028978502,0,0,0
2015-07-06,0.010253723,0.071507687,0.012179107,0,0.040655711,0.003880511,0.003284118,0.045788634,0.003991621,0.023919931,0.014082153,0.006096339,0.024875931,0.027577303,0.03396171,0.012457396,0.015437595,0.00466277,0.032184749,0.007562849,0,0.061003855,0.01875061,0.006964793,0.01726184,0.014445182,0.012256911,0.075353852,0.011169649,0.018092908,0.058831077,0.024379892,0.002591633,0.009359977,0.004016783,0.011352785,0.018592712,0.004080652,0.009425107,0.033095408,0.045818353,0.005776374,0.068184533,0.015768184,0.028601883,0.011301338,0.006489191,0,0,0
2015-07-07,0.004522354,0.05200452,0.01162119,0.00131859,0.050414724,0.004282163,0.025118798,0.006429722,0.004514528,0.031633415,0.01541294,0.005719607,0.032899256,0.044829744,0.04215187,0.014895176,0.034956168,0.002771323,0.035826497,0.027695759,0.000956618,0.039975751,0.012664993,0.006854801,0.00053744,0.02689696,0.050733971,0.028550058,0.00307167,0.015992147,0.018815365,0.008541451,0,0.011538107,0.000654449,0.005202284,0.015822641,0,0.038613547,0.011884531,0.015048456,0.033923704,0.010628349,0.100226991,0.019532024,0.051660463,0.010162559,0,0,0
2015-07-08,0.009679673,0.012134483,0,0,0.018895907,0.030913713,0.000410789,0,0.004559271,0.020020975,0,0.008632103,0.059256065,0.04560021,0.052716845,0.012003221,0.056166651,0.002301868,0.032796776,0.017623333,0.006947157,0,0.009564588,0.025016566,0.001002463,0.005480275,0.007521646,0.00794816,0.00854671,0.009091868,0.078560212,0.020624882,0.004856118,0.036760166,0,0.015877166,0.047812352,0.010802852,0.217182191,0.003075975,0.009719351,0.009921928,0.021914265,0.011700616,0,0.033616331,0,0,0,0
2015-07-09,0.006142168,0.076076734,0,0,0.026613657,0.028233649,0.043613609,0.003205495,0.001560268,0.005551884,0.02000803,0.003311161,0.066231978,0.035223679,0.003180303,0.020977083,0.015157274,0.007698158,0.001459662,0.003523829,0.004800906,0.016754122,0,0.01393074,0.013999589,0.000818871,0.027591978,0.032837822,0.013904779,0.009208422,0.06727795,0.004093903,0.001158941,0.013391391,0.005383895,0.0123785,0.012480835,0.013034012,0.203807084,0.012362603,0.026212237,0.012266274,0.052190862,0.000525547,0,0.043595434,0.006627459,0,0,0
2015-07-10,0.023016553,0.044062706,0.014734629,0,0.052020651,0.017545869,0.00793375,0.014966791,0.001032396,0.058415591,0.006229023,0.012306396,0.013975307,0.035255019,0.025223405,0.00626665,0.007588168,0,0.015718752,0.027549808,0,0.028326822,0.003238958,0.041782853,0.020585769,0.003185903,0.03511691,0.028570623,0.057259175,0.012893081,0.019686465,0.03189147,0.006733107,0.018558771,0.005855188,0.007689064,0.014835156,0.004184202,0.093650827,0.002579425,0.016510339,0.032623718,0.028446168,0.00253883,0.050057455,0.032757535,0.001524986,0,0,0
2015-07-11,0.074453137,0.067418493,0.003492428,0,0.086156401,0.003191737,0.01850985,0.044968077,0.002517858,0.039024539,0.017459748,0.004085184,0.002968517,0.025618106,0.052989666,0.009237001,0.004900323,0.003934719,0.004631215,0.041449592,0,0.039372513,0.004004791,0.02312545,0.000618125,0,0.041787445,0.029678829,0.009046316,0.034219712,0.006176392,0.004363045,0.001846012,0.011248243,0.003180594,0.002840001,0.003002312,0.018870335,0.013372896,0.043892692,0.010131265,0.019703653,0.011224036,0.038777495,0.002902239,0.045567898,0.065666185,0,0,0
