Date,Topic-0,Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18,Topic-19,Topic-20,Topic-21,Topic-22,Topic-23,Topic-24,Topic-25,Topic-26,Topic-27,Topic-28,Topic-29,Topic-30,Topic-31,Topic-32,Topic-33,Topic-34,Topic-35,Topic-36,Topic-37,Topic-38,Topic-39,Topic-40,Topic-41,Topic-42,Topic-43,Topic-44,Topic-45,Topic-46,Topic-47,Topic-48,Topic-49
2015-07-01,0.010370263,0.004805103,0.051663164,0,0,0.026918334,0.010586239,0.004888177,0.004130185,0.02330603,0.00494182,0.012013275,0.008188636,0.009955971,0,0.000314381,0.012517145,0.010336376,0.009240252,0.027566915,0.006388894,0.018993786,0.026523418,0.019343523,0.006740401,0.026360557,0.012851818,0.014915588,0.010870847,0.005163158,0.0107362,0.012806572,0.012688127,0.051522986,0.016880596,0.000316795,0.015810914,0.03071277,0.005176833,0.005378386,0.079522037,0.055753301,0.013001188,0.000316217,0.033865913,0.033470759,0,0.067558209,0.003559272,0.015667124
2015-07-02,0,0.0401539,0.034632088,0,0,0.021963237,0.007078266,0.012488948,0.004115801,0.016024367,0.004943834,0.000377553,0.003683386,0.014505509,0.03551339,0.007979177,0.019200956,0.008810295,0.030868112,0.014364089,0,0.008926592,0.045394133,0,0.017501214,0.015529748,0.024849497,0.023050265,0.00597112,0.016022267,0.003731622,0.019243721,0.046053078,0.023352278,0.042228802,0.027924276,0.015896859,0.020951959,0.01566298,0.004106616,0.023755249,0.045365226,0.018227391,0.008349625,0.008413694,0.01404368,0.033429162,0.033326331,0.004422288,0.014960878
2015-07-03,0.0290526,0.034587048,0.047831857,0,0.007127151,0.006897287,0.006541543,0.000512264,0.016382772,0.007569388,0,0.008378179,0.020204191,0.045730603,0,0.055261622,0,0,0.020243588,0.017201694,0.02255016,0.022449988,0.090685223,0,0.007894052,0,0.011175598,0.039507501,0.011027753,0.025635305,0,0.021495733,0.032672831,0.007738588,0.014428779,0.037754148,0.023982906,0.025293054,0.014559518,0,0.00051702,0.009657861,0.007293472,0.014305302,0.029930738,0.007457619,0.006381414,0.01894366,0,0.016029079
2015-07-04,0.025687073,0.020851066,0.030931866,0,0,0.053974122,0,0.007099367,0,0.012568081,0.041660453,0.006845926,0,0,0,0.007662175,0.038532964,0,0.052523547,0.034732249,0,0.017290471,0.02976141,0.024808873,0,0.031812443,0.0820391,0.009423282,0.007495242,0.014046242,0.043742731,0,0.013304908,0.013314815,0,0.033520849,0.015666727,0,0.03882186,0.007111302,0.069333408,0.017343405,0.011578187,0.012472077,0.017503122,0.005273274,0,0,0.008013431,0.009459556
2015-07-05,0.038375758,0.012467596,0.041118516,0.008103237,0.013765934,0,0.013145479,0.008538637,0,0.009737336,0,0.005619768,0.057007163,0.095531291,0,0.005623479,0.006965219,0.023303794,0.012351621,0.043976496,0.008118642,0.023733636,0.024769826,0.026280187,0.017548998,0.034587498,0.016063394,0.027068891,0.006693734,0,0,0,0.004418483,0.022732146,0.011591388,0.006047905,0,0.048661388,0,0.022947331,0.047054884,0.044169378,0.051791646,0.007166513,0.019317322,0,0,0,0,0
2015-07-06,0,0.018794113,0.054078293,0.015659098,0.030362184,0.009535199,0.03117933,0.00246224,0.004656786,0.030716725,0,0,0.009854769,0.043909821,0.017295897,0.041640737,0.023691534,0.038660745,0.015604411,0.010115626,0.014676014,0.010782168,0.023396906,0.037046225,0.0127772,0.022972771,0.047988318,0.003997539,0,0.005991962,0.004596546,0,0.01095772,0.027638584,0.006497534,0.029671093,0,0.033199048,0.008848739,0.018214926,0,0.011510181,0.012081905,0.011625294,0.064085222,0.00930583,0.003901948,0.01819465,0.009185425,0
2015-07-07,0.022659754,0.011195999,0.042140486,0.00573681,0.033707605,0.027649589,0.04197666,0.01026496,0.005448096,0.014345448,0.01375593,0.00582424,0.06906926,0.008717912,0,0.016095192,0.021969175,0.089677143,0.027113686,0,0.007017695,0.006309308,0,0.025862184,0,0.016869804,0.004749175,0.006295685,0,0.01136155,0.023920364,0.005510224,0.027821999,0.01564701,0,0.018965497,0.046570021,0.005007302,0.021742382,0.013075868,0,0.039080369,0.009381162,0,0.034261838,0.025571866,0,0.004740444,0.013185701,0.013034324
2015-07-08,0.012333167,0,0.079114085,0.004918571,0.022684238,0.030714036,0.011477313,0.018996957,0,0.005614812,0.016740636,0.011200914,0.010700785,0.011657283,0.029083345,0.007384376,0.005509011,0.012203262,0.01127243,0,0.019537465,0.015974565,0.036703348,0.020257925,0,0,0.008981748,0.012279109,0,0.018189157,0.021062649,0.026633943,0.08021835,0.022421068,0,0.030730893,0,0.004906327,0.033352397,0.025601048,0.032136213,0.005611035,0,0.012869275,0.060641941,0.033250426,0,0.027784534,0.005657926,0.014426755
2015-07-09,0.008894219,0.015011166,0.07098168,0,0,0.024205101,0.007655793,0,0.007581393,0,0.005863818,0,0.010258606,0,0.04255785,0.006824908,0.038627753,0.009292324,0.015413219,0,0.00774237,0.032288,0.042692309,0.012862039,0,0.019749926,0.03200214,0.016561881,0.024088942,0,0,0.005155862,0.09338844,0.016317647,0,0,0.080678006,0.014730519,0.004970174,0.015719385,0.019384501,0,0.01078802,0,0.046548501,0.08197281,0,0,0,0.01436663
2015-07-10,0.006379126,0.044089219,0.038278405,0.003549662,0,0.017046774,0,0.004679541,0.018205432,0.026364937,0.004471604,0.013041875,0.007509683,0.016539164,0.028256902,0.00460251,0.022174289,0.022675386,0.026168764,0.003571744,0.033151062,0.038185581,0,0.02222077,0,0.040121876,0.024539663,0.013788175,0.01185266,0.019107532,0.004568575,0.026795342,0.04665118,0.01028563,0,0.009334328,0.026169843,0.02020198,0.003609619,0.033924168,0.023915289,0.003252009,0.031910199,0,0.034171852,0.023769161,0.027342149,0,0.011531275,0.009711962
